model	L_P	L_Q	C_whole	C_calculate	C_Final
B0	0.8126555802307743	0.8091753377602461	-0.12528872893902	-0.2172257499841238	-0.02880211282432721
P_11	0.5246329957270576	0.5233478885743705	-0.046263857496737115	-0.11860450037741332	0.03555054879632258
Q_11	0.524324190711095	0.522761842195677	-0.05624454655504885	-0.1308146427527005	0.028990726938315725
P_29	0.5204153906042119	0.5192182162201596	-0.04309827782588238	-0.11471075759479021	0.037794417168472205
Q_29	0.5208380448247916	0.5193279058732682	-0.054365002254842976	-0.1264669074525664	0.027374899521118934
P_47	0.5177364546854294	0.5165035524497732	-0.04438448048362342	-0.11371324065665411	0.033864021719347326
Q_47	0.5200992653693529	0.5186713263553675	-0.05140580450347465	-0.12076684328991716	0.025529931798255245
